,Edad,Trabajo,Estado civil,Educacion,Default,Prestamo vivienda,Prestamo personal,Contacto,Mes,Dia de la semana,Cantidad de contactos,Dias,Anterior,Resultado anterior,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
0,34,Obrero,casado,basica.9y,no,si,no,celular,may,mon,5,999,0,inexistente,-1.8,92.893,-46.2,1.299,5099.1,no
1,59,Gerente,casado,basica.4y,desconocido,si,no,telefono,may,tue,5,999,0,inexistente,1.1,93.994,-36.4,4.857,5191,no
2,40,Administrativo,casado,secundario,no,desconocido,desconocido,telefono,jun,tue,6,999,0,inexistente,1.4,94.465,-41.8,4.961,5228.1,no
3,32,Autonomo,casado,secundario,no,si,no,celular,aug,wed,3,999,0,inexistente,1.4,93.444,-36.1,4.964,5228.1,no
4,46,Administrativo,casado,secundario,no,no,no,celular,aug,thu,17,999,0,inexistente,1.4,93.444,-36.1,4.962,5228.1,no
5,42,Administrativo,divorciado,universitario,no,si,no,celular,apr,fri,2,999,1,fallida,-1.8,93.075,-47.1,1.405,5099.1,no
6,24,Obrero,soltero,desconocido,no,si,no,celular,may,thu,2,999,0,inexistente,-1.8,92.893,-46.2,1.266,5099.1,no
7,28,Autonomo,soltero,universitario,no,si,no,telefono,mar,fri,1,999,0,inexistente,-1.8,92.843,-50,1.531,5099.1,no
8,24,Obrero,soltero,secundario,no,no,no,celular,apr,mon,2,999,1,fallida,-1.8,93.749,-34.6,0.645,5008.7,no
9,59,Gerente,casado,basica.4y,desconocido,si,si,telefono,may,tue,1,999,0,inexistente,1.1,93.994,-36.4,4.857,5191,no
10,45,Obrero,casado,basica.4y,desconocido,si,no,celular,aug,wed,6,999,0,inexistente,1.4,93.444,-36.1,4.964,5228.1,no
11,34,Servicios,soltero,secundario,no,no,no,telefono,nov,mon,2,999,1,fallida,-0.1,93.2,-42,4.191,5195.8,no
12,30,Obrero,casado,basica.6y,no,no,no,celular,nov,thu,2,999,0,inexistente,-0.1,93.2,-42,4.076,5195.8,no
13,28,Tecnico,soltero,curso profesional,no,no,no,celular,may,wed,2,999,1,fallida,-1.8,92.893,-46.2,1.334,5099.1,si
14,50,unemployed,casado,secundario,desconocido,no,no,telefono,jun,fri,11,999,0,inexistente,1.4,94.465,-41.8,4.959,5228.1,no
15,42,Administrativo,casado,universitario,no,si,no,celular,jul,fri,1,999,0,inexistente,1.4,93.918,-42.7,4.957,5228.1,no
16,31,Empresario,casado,universitario,no,si,no,celular,aug,fri,1,999,0,inexistente,1.4,93.444,-36.1,4.966,5228.1,no
17,60,Jubilado,casado,universitario,desconocido,si,no,telefono,may,tue,2,999,0,inexistente,1.1,93.994,-36.4,4.857,5191,no
18,42,Obrero,casado,basica.4y,no,si,no,celular,may,tue,1,999,0,inexistente,-1.8,92.893,-46.2,1.344,5099.1,no
19,30,Tecnico,soltero,secundario,no,si,no,telefono,jul,mon,2,999,0,inexistente,1.4,93.918,-42.7,4.96,5228.1,no
20,41,Administrativo,casado,universitario,no,si,si,telefono,nov,wed,1,999,0,inexistente,-0.1,93.2,-42,4.12,5195.8,no
21,28,Administrativo,soltero,secundario,no,no,no,telefono,jun,wed,8,999,0,inexistente,1.4,94.465,-41.8,4.962,5228.1,no
22,51,unemployed,divorciado,universitario,no,no,no,celular,nov,thu,6,999,1,fallida,-0.1,93.2,-42,4.076,5195.8,no
23,53,Obrero,casado,curso profesional,desconocido,si,no,celular,may,wed,4,999,1,fallida,-1.8,92.893,-46.2,1.334,5099.1,no
24,33,Administrativo,soltero,universitario,no,no,no,celular,oct,thu,1,999,1,fallida,-3.4,92.431,-26.9,0.722,5017.5,si
25,45,Gerente,divorciado,universitario,no,si,si,celular,jul,tue,1,999,0,inexistente,1.4,93.918,-42.7,4.961,5228.1,no
26,29,Obrero,casado,secundario,no,no,si,telefono,may,wed,1,999,0,inexistente,1.1,93.994,-36.4,4.859,5191,no
27,41,Tecnico,soltero,curso profesional,desconocido,si,no,celular,aug,tue,5,999,0,inexistente,1.4,93.444,-36.1,4.963,5228.1,no
28,78,Jubilado,divorciado,curso profesional,no,si,no,celular,mar,tue,1,999,1,fallida,-1.8,93.369,-34.8,0.655,5008.7,si
29,30,Obrero,soltero,secundario,desconocido,si,no,celular,may,thu,1,999,0,inexistente,-1.8,92.893,-46.2,1.327,5099.1,no
30,24,Obrero,soltero,basica.9y,no,desconocido,desconocido,celular,jun,mon,1,3,1,exitosa,-2.9,92.963,-40.8,1.266,5076.2,no
31,30,Tecnico,casado,curso profesional,no,si,no,celular,aug,tue,1,999,0,inexistente,1.4,93.444,-36.1,4.963,5228.1,no
32,28,Obrero,soltero,basica.6y,desconocido,desconocido,desconocido,telefono,may,fri,2,999,0,inexistente,1.1,93.994,-36.4,4.857,5191,no
33,30,Administrativo,soltero,universitario,no,no,no,celular,may,thu,1,999,0,inexistente,-1.8,92.893,-46.2,1.327,5099.1,no
34,63,Jubilado,casado,secundario,no,no,no,celular,oct,wed,1,999,0,inexistente,-3.4,92.431,-26.9,0.74,5017.5,si
35,49,Administrativo,divorciado,universitario,desconocido,si,si,celular,aug,fri,5,999,0,inexistente,1.4,93.444,-36.1,4.964,5228.1,no
36,28,Ama de casa,casado,secundario,no,no,no,celular,jul,fri,2,999,0,inexistente,1.4,93.918,-42.7,4.963,5228.1,no
37,38,Tecnico,casado,curso profesional,no,si,si,celular,nov,wed,3,999,0,inexistente,-0.1,93.2,-42,4.12,5195.8,no
38,31,Administrativo,casado,universitario,no,no,no,celular,nov,thu,1,999,0,inexistente,-0.1,93.2,-42,4.076,5195.8,no
39,28,Tecnico,soltero,secundario,no,si,si,celular,may,thu,1,11,1,exitosa,-1.8,92.893,-46.2,1.327,5099.1,si
40,43,Administrativo,soltero,universitario,no,no,no,celular,may,tue,2,999,0,inexistente,-1.8,92.893,-46.2,1.291,5099.1,no
41,55,Obrero,casado,basica.4y,desconocido,si,no,telefono,may,fri,5,999,0,inexistente,1.1,93.994,-36.4,4.857,5191,no
42,32,Administrativo,casado,universitario,desconocido,no,no,celular,aug,mon,2,999,0,inexistente,1.4,93.444,-36.1,4.965,5228.1,no
43,63,desconocido,casado,curso profesional,no,no,no,celular,oct,thu,1,6,1,exitosa,-1.1,94.601,-49.5,1.025,4963.6,no
44,36,Obrero,soltero,basica.6y,desconocido,si,no,telefono,may,thu,1,999,0,inexistente,1.1,93.994,-36.4,4.86,5191,no
45,52,Tecnico,casado,curso profesional,no,no,no,celular,jul,fri,2,999,0,inexistente,1.4,93.918,-42.7,4.963,5228.1,no
46,29,Administrativo,soltero,universitario,no,si,no,celular,apr,mon,4,999,0,inexistente,-1.8,93.749,-34.6,0.643,5008.7,no
47,44,Tecnico,divorciado,curso profesional,no,no,no,celular,apr,tue,1,999,0,inexistente,-1.8,93.075,-47.1,1.453,5099.1,no
48,33,Gerente,soltero,universitario,no,si,no,celular,jul,wed,1,999,0,inexistente,1.4,93.918,-42.7,4.963,5228.1,no
49,38,Tecnico,divorciado,secundario,no,si,no,telefono,nov,wed,4,999,1,fallida,-0.1,93.2,-42,4.12,5195.8,no
50,40,Administrativo,casado,universitario,desconocido,no,no,telefono,may,mon,1,999,0,inexistente,1.1,93.994,-36.4,4.857,5191,no
51,45,Tecnico,casado,universitario,no,si,no,celular,nov,wed,1,999,0,inexistente,-0.1,93.2,-42,4.12,5195.8,no
52,50,Autonomo,divorciado,universitario,desconocido,si,no,celular,jul,wed,11,999,0,inexistente,1.4,93.918,-42.7,4.963,5228.1,no
53,31,Administrativo,soltero,universitario,no,no,no,celular,apr,mon,6,999,0,inexistente,-1.8,93.075,-47.1,1.405,5099.1,no
54,27,Tecnico,soltero,curso profesional,no,si,no,celular,jul,tue,3,999,0,inexistente,1.4,93.918,-42.7,4.961,5228.1,no
55,37,Empresario,casado,universitario,desconocido,si,no,telefono,nov,mon,1,999,0,inexistente,-0.1,93.2,-42,4.191,5195.8,no
56,37,Obrero,soltero,basica.9y,desconocido,no,no,telefono,may,fri,3,999,0,inexistente,1.1,93.994,-36.4,4.859,5191,si
57,29,Tecnico,divorciado,secundario,no,no,no,celular,jul,wed,1,999,0,inexistente,1.4,93.918,-42.7,4.957,5228.1,no
58,44,Tecnico,divorciado,universitario,desconocido,no,no,celular,jul,mon,1,999,0,inexistente,1.4,93.918,-42.7,4.962,5228.1,no
59,58,Autonomo,casado,universitario,no,no,no,celular,aug,tue,4,6,3,exitosa,-1.7,94.027,-38.3,0.895,4991.6,si
60,57,Obrero,casado,basica.9y,desconocido,si,no,celular,nov,fri,2,999,0,inexistente,-0.1,93.2,-42,4.021,5195.8,no
61,58,Administrativo,casado,secundario,no,si,si,celular,aug,tue,1,999,0,inexistente,1.4,93.444,-36.1,4.968,5228.1,no
62,36,Ama de casa,casado,basica.6y,no,no,no,celular,aug,mon,3,999,0,inexistente,1.4,93.444,-36.1,4.965,5228.1,no
63,25,Ama de casa,soltero,basica.9y,no,si,no,celular,jul,mon,5,999,0,inexistente,1.4,93.918,-42.7,4.96,5228.1,no
64,23,estudiante,soltero,secundario,no,no,no,celular,may,thu,1,999,0,inexistente,-1.8,92.893,-46.2,1.266,5099.1,no
65,36,Gerente,casado,basica.6y,desconocido,si,no,telefono,jul,fri,2,999,0,inexistente,1.4,93.918,-42.7,4.959,5228.1,no
66,74,Jubilado,casado,universitario,no,si,no,celular,oct,fri,2,3,2,exitosa,-1.1,94.601,-49.5,0.993,4963.6,no
67,30,Administrativo,soltero,universitario,no,si,no,celular,may,wed,1,999,1,fallida,-1.8,92.893,-46.2,1.334,5099.1,no
68,57,Jubilado,casado,basica.9y,desconocido,si,no,celular,aug,fri,3,999,0,inexistente,1.4,93.444,-36.1,4.966,5228.1,no
69,51,Empresario,casado,sin estudios,no,no,no,celular,apr,thu,2,999,0,inexistente,-1.8,93.075,-47.1,1.41,5099.1,no
70,38,Gerente,casado,desconocido,no,no,no,telefono,may,mon,1,999,0,inexistente,1.1,93.994,-36.4,4.858,5191,no
71,29,Gerente,soltero,universitario,no,si,no,celular,jul,mon,3,999,0,inexistente,1.4,93.918,-42.7,4.962,5228.1,no
72,53,Administrativo,casado,universitario,no,si,no,celular,apr,tue,2,6,1,exitosa,-1.8,93.075,-47.1,1.405,5099.1,si
73,34,Tecnico,soltero,curso profesional,desconocido,si,no,telefono,jul,fri,2,999,0,inexistente,1.4,93.918,-42.7,4.959,5228.1,no
74,37,Gerente,casado,universitario,no,no,no,celular,apr,mon,1,999,0,inexistente,-1.8,93.075,-47.1,1.405,5099.1,no
75,43,Obrero,casado,basica.9y,desconocido,si,no,celular,may,tue,1,999,0,inexistente,-1.8,92.893,-46.2,1.344,5099.1,no
76,54,unemployed,casado,basica.9y,no,no,no,celular,may,wed,1,3,1,exitosa,-1.8,92.893,-46.2,1.27,5099.1,si
77,59,Tecnico,soltero,curso profesional,no,si,no,celular,nov,fri,2,999,0,inexistente,-0.1,93.2,-42,4.021,5195.8,no
78,38,Tecnico,casado,curso profesional,desconocido,no,no,celular,aug,fri,2,999,0,inexistente,1.4,93.444,-36.1,4.966,5228.1,no
79,48,Administrativo,casado,universitario,no,no,no,celular,apr,fri,3,999,0,inexistente,-1.8,93.075,-47.1,1.405,5099.1,no
80,30,Obrero,casado,basica.9y,no,si,no,celular,may,thu,11,999,1,fallida,-1.8,92.893,-46.2,1.266,5099.1,no
81,32,Tecnico,casado,curso profesional,no,no,no,celular,jul,mon,2,999,0,inexistente,1.4,93.918,-42.7,4.96,5228.1,no
82,49,Obrero,casado,basica.4y,no,si,no,telefono,may,wed,1,999,0,inexistente,1.1,93.994,-36.4,4.857,5191,no
83,57,Jubilado,casado,basica.9y,desconocido,si,no,celular,aug,fri,6,999,0,inexistente,1.4,93.444,-36.1,4.966,5228.1,no
84,50,Tecnico,casado,universitario,desconocido,si,si,celular,nov,fri,1,999,0,inexistente,-0.1,93.2,-42,4.021,5195.8,no
85,33,Obrero,casado,curso profesional,no,si,no,celular,aug,tue,4,999,0,inexistente,-1.7,94.027,-38.3,0.886,4991.6,si
86,33,Administrativo,casado,universitario,no,si,no,celular,nov,fri,2,999,1,fallida,-0.1,93.2,-42,4.021,5195.8,no
87,42,Tecnico,casado,universitario,no,si,no,telefono,jun,mon,4,999,0,inexistente,1.4,94.465,-41.8,4.865,5228.1,no
88,35,Tecnico,casado,universitario,no,no,no,celular,jul,fri,1,999,0,inexistente,1.4,93.918,-42.7,4.957,5228.1,no
89,50,Tecnico,divorciado,curso profesional,no,si,no,telefono,jul,fri,2,999,0,inexistente,1.4,93.918,-42.7,4.963,5228.1,no
90,49,Administrativo,casado,universitario,no,no,no,celular,jun,thu,2,999,0,inexistente,-2.9,92.963,-40.8,1.235,5076.2,si
